id_1,kod_t,part,kod_r,nsert,dsert,ogr,shape,DiametrMin,DiametrMax,sizes,obshmass,carat,psc,col_r,cla_r,po_r,flour,comment,TotalDepth,diametr,PavilDepth,PavilAngle,CrownHeight,CrownAngle,TableSize,Girdle_max,Girdle_min,CuletSize,print,diamdev,Weight,kod,mras,col_gia,cla_gia,cut_gia,res,slug
1,1,722,75O23T,YGL145813,27.03.2022,Кр-57,Round Brilliant,0.0,0.0,,,0.03,1,3,2,А,,-,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,,1.0,,,,,,,1-75O23TYGL145813
2,2,722,07U70K,YGL145814,27.03.2022,Кр-57,Round Brilliant,0.0,0.0,,,0.03,1,4,3,Б,,-,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,,1.0,,,,,,,2-07U70KYGL145814
3,3,722,87J98B,YGL145815,27.03.2022,Кр-57,Round Brilliant,0.0,0.0,,,0.03,1,4,3,Б,,-,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,,1.0,,,,,,,3-87J98BYGL145815
4,4,722,93N70O,YGL145816,27.03.2022,Кр-57,Round Brilliant,0.0,0.0,,,0.03,1,4,3,Б,,-,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,,1.0,,,,,,,4-93N70OYGL145816
5,5,722,42P62G,YGL145817,27.03.2022,Кр-57,Round Brilliant,0.0,0.0,,,0.03,1,4,3,Б,,-,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,,1.0,,,,,,,5-42P62GYGL145817
